,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
113,shilong,CN,73,12/04/2019,21,23.11,113.84,64,13.42
114,ambon,ID,100,12/04/2019,77,-3.7,128.18,82.49,5.88
115,susanville,US,90,12/04/2019,100,40.42,-120.65,36,2.19
116,luderitz,NA,0,12/04/2019,16,-26.65,15.16,91.4,18.34
117,evensk,RU,100,12/04/2019,84,61.92,159.24,5.83,23.6
118,letpadan,MM,10,12/04/2019,87,17.78,95.75,67.64,1.79
119,klaksvik,FO,98,12/04/2019,66,62.23,-6.59,37.4,23.04
120,tulun,RU,100,12/04/2019,95,54.56,100.58,10.83,2.98
121,itoman,JP,75,12/04/2019,68,26.12,127.67,66.2,16.11
122,darlawn,IN,0,12/04/2019,91,24.02,92.93,54.34,2.59
123,marawi,SD,0,12/04/2019,19,18.48,31.82,72.36,11.61
124,chuy,UY,31,12/04/2019,44,-33.69,-53.46,81.23,3.62
125,diffa,NE,100,12/04/2019,16,13.32,12.61,76.05,8.77
126,kloulklubed,PW,75,12/04/2019,94,7.04,134.26,75.2,12.3
127,kolokani,ML,0,12/04/2019,12,13.58,-8.03,84.63,6.67
128,paoua,CF,32,12/04/2019,34,7.24,16.43,76.05,2.04
129,jiuquan,CN,92,12/04/2019,39,39.73,98.49,21.47,7.27
130,jeremie,HT,16,12/04/2019,80,18.65,-74.12,77.7,3.22
131,necochea,AR,61,12/04/2019,78,-38.55,-58.74,59,10
132,avarua,CK,0,12/04/2019,88,-21.21,-159.78,77,3.36
133,payakumbuh,ID,78,12/04/2019,95,-0.23,100.63,66.94,0.49
134,brownsville,US,90,12/04/2019,83,25.91,-97.49,73,4.7
135,ybycui,PY,60,12/04/2019,49,-26.02,-57.05,87.22,6.89
136,kisanga,TZ,75,12/04/2019,83,-5.57,32.88,71.6,9.17
137,ancud,CL,51,12/04/2019,63,-41.87,-73.83,62.6,11.41
138,pimenta bueno,BR,45,12/04/2019,56,-11.68,-61.19,89.69,5.57
139,soure,BR,51,12/04/2019,61,-0.72,-48.52,87.6,10.36
140,tomatlan,MX,1,12/04/2019,47,19.93,-105.25,87.13,1.66
141,baijiantan,CN,24,12/04/2019,67,45.63,85.18,18.97,3.31
142,port elizabeth,ZA,5,12/04/2019,59,-33.92,25.57,60.8,2.24
